1,0
2,1
6,1
5,6
6,2
3,6
4,6
0,5
1,5
4,5
0,4
3,4
1,3
2,3
8,7
7,12
9,12
7,11
12,11
8,11
9,11
12,8
9,8
11,10
9,10
14,13
17,13
16,13
13,18
14,18
15,18
15,14
17,16
18,16
15,16
18,17
20,19
23,20
20,21
23,21
19,22
21,22
24,23
22,23
19,24
20,24
21,24
27,25
25,26
26,27
25,29
26,29
27,28
29,28
25,28
27,29
34,30
31,30
34,31
31,32
34,32
32,33
31,33
30,33
33,34
36,35
41,35
37,36
38,36
40,36
38,37
39,37
41,37
35,39
38,39
41,39
35,40
41,40
39,40
36,41
45,42
47,42
42,43
43,44
44,45
46,45
42,46
43,47
44,47
46,47
2,10
13,3
21,16
28,22
15,28
33,25
10,34
15,34
9,30
35,31
42,40
25,46
27,45
